ID do vídeo,Carimbo de data/hora da criação do vídeo da playlist
jVZr7SXiiW8,2022-12-05T03:22:16+00:00
cc4og_BpscM,2022-12-05T03:23:02+00:00
bFOAZD6P4QE,2022-12-05T03:23:18+00:00
LyHQ9AGZqUE,2022-12-05T03:24:17+00:00
7mRJQlR-v7Q,2022-12-05T03:25:19+00:00
8SvAif6uu6k,2022-12-05T03:27:20+00:00
h3e1wYxipHg,2022-12-05T03:38:14+00:00
6nJuUdc2qNg,2022-12-05T03:53:36+00:00
M51-spaR4qk,2022-12-05T03:55:16+00:00
6qI-va1F5ck,2022-12-05T04:02:01+00:00
2fiPk-5iYhE,2022-12-05T04:12:06+00:00
9ssQKlLxBdQ,2022-12-05T10:16:32+00:00
ZWpGjcEAXwk,2022-12-05T10:20:54+00:00
_P7S2lKif-A,2022-12-05T10:21:54+00:00
 -vfGd6msyS4,2022-12-05T10:26:00+00:00
_mmHxzGjUZQ,2022-12-06T01:10:26+00:00
Hsz6hL_a69Q,2022-12-06T01:19:15+00:00
rCJib3Th_-s,2022-12-06T01:22:03+00:00
bkn8Sg3A_mQ,2022-12-06T01:28:43+00:00
Wnn6M1nNiKQ,2022-12-07T18:27:00+00:00
9g6x-pK6olE,2022-12-16T03:17:02+00:00
uok29fTG4VM,2022-12-19T12:59:47+00:00
2LJfIfBe9zk,2023-01-19T18:15:55+00:00
HK_XI1MPKW0,2023-01-28T18:57:28+00:00
vk6014HuxcE,2023-01-30T02:14:00+00:00
0kw444Syhec,2023-02-08T00:30:12+00:00
pW9wY_OJpVc,2023-02-23T16:43:06+00:00
XQCG6KKT674,2023-02-23T17:21:35+00:00
pXRviuL6vMY,2023-03-03T20:32:44+00:00
IPXIgEAGe4U,2023-03-03T20:33:08+00:00
r1MN4pR5wXM,2023-03-03T20:35:54+00:00
p4kVWCSzfK4,2023-03-03T21:07:39+00:00
1_x-4n1BfNU,2023-03-03T21:37:44+00:00
SQVkYgkMzhY,2023-04-08T02:24:13+00:00
jQGw3mM4NDg,2025-02-21T23:17:00+00:00
9bgyuqM4LcU,2026-01-05T03:42:39+00:00





