ID do canal,URL do canal,Título do canal
UC0o7J4k762GUSmNHTMNjt_w,http://www.youtube.com/channel/UC0o7J4k762GUSmNHTMNjt_w,RoboWeekend
UC4ovz3ObT9fffGjJjVKFGDQ,http://www.youtube.com/channel/UC4ovz3ObT9fffGjJjVKFGDQ,Canal Subido
UC5c-eZrR6fSLUVN0X7ukQGw,http://www.youtube.com/channel/UC5c-eZrR6fSLUVN0X7ukQGw,Verônica e o Boné Azul
UC5vZ5x2G--LHRQn0P0Isp_A,http://www.youtube.com/channel/UC5vZ5x2G--LHRQn0P0Isp_A,Bia Bonini
UC6pkw1C4ha1cmU9aDJ8OxUw,http://www.youtube.com/channel/UC6pkw1C4ha1cmU9aDJ8OxUw,Breno Perrucho - Jovens de Negócios
UC8Hv4-3BLtBDIb0ok6an5PQ,http://www.youtube.com/channel/UC8Hv4-3BLtBDIb0ok6an5PQ,Bia Bonini
UC8mDF5mWNGE-Kpfcvnn0bUg,http://www.youtube.com/channel/UC8mDF5mWNGE-Kpfcvnn0bUg,Me Poupe!
UCCoDqrBGLRIM8Ih8RApfk2A,http://www.youtube.com/channel/UCCoDqrBGLRIM8Ih8RApfk2A,Emizolas
UCGmzBHDhi9mBEhR5DwyHfqw,http://www.youtube.com/channel/UCGmzBHDhi9mBEhR5DwyHfqw,Grimaldo Oliveira
UCJRFwI38G_WwYslGI8oMFPA,http://www.youtube.com/channel/UCJRFwI38G_WwYslGI8oMFPA,Elton Euler
UCKHhA5hN2UohhFDfNXB_cvQ,http://www.youtube.com/channel/UCKHhA5hN2UohhFDfNXB_cvQ,Manual do Mundo
UCLA_DiR1FfKNvjuUpBHmylQ,http://www.youtube.com/channel/UCLA_DiR1FfKNvjuUpBHmylQ,NASA
UCOkFn1aYBHZUWISzUeZNLWA,http://www.youtube.com/channel/UCOkFn1aYBHZUWISzUeZNLWA,Manulera
UCSbc0kZYlDUdpP0iZpvWlCA,http://www.youtube.com/channel/UCSbc0kZYlDUdpP0iZpvWlCA,DINAMICAMENTE
UCU9FjEKGwl40uHfSgjgnYaQ,http://www.youtube.com/channel/UCU9FjEKGwl40uHfSgjgnYaQ,Amazing Tube
UCWFHcSFk_SbliMhhQ_DRwDQ,http://www.youtube.com/channel/UCWFHcSFk_SbliMhhQ_DRwDQ,QUEM INFORMA
UCWa3Y4ZMEk9zA4fzKEIui7Q,http://www.youtube.com/channel/UCWa3Y4ZMEk9zA4fzKEIui7Q,Crônicas de Crisóres
UCY41uxUipAWtvYNDbpkXZAg,http://www.youtube.com/channel/UCY41uxUipAWtvYNDbpkXZAg,Medalhei Olimpíadas
UCYfW4Xdy4cmT4y9-A8q0NRA,http://www.youtube.com/channel/UCYfW4Xdy4cmT4y9-A8q0NRA,Aliança Divergente
UCbG7_Agdb99rhG9-rhY8iTg,http://www.youtube.com/channel/UCbG7_Agdb99rhG9-rhY8iTg,SejaUmaPessoaMelhor
UCfS01tIZFZmhbeK29FOY6dw,http://www.youtube.com/channel/UCfS01tIZFZmhbeK29FOY6dw,Sky Perspective
UCh4nRwAk0uXEkOFq-MNkCGg,http://www.youtube.com/channel/UCh4nRwAk0uXEkOFq-MNkCGg,Nicolinha2012
UChPRO1CB_Hvd0TvKRU62iSQ,http://www.youtube.com/channel/UChPRO1CB_Hvd0TvKRU62iSQ,Harry Potter
UChfTcl5XfdTUCjkfuro982Q,http://www.youtube.com/channel/UChfTcl5XfdTUCjkfuro982Q,That's Amazing Shorts
UCkW7TFgWm_kpUAIA68Pv83A,http://www.youtube.com/channel/UCkW7TFgWm_kpUAIA68Pv83A,Gacha Life Filme
UClCwRrbAdA0RMmL20IRdqqw,http://www.youtube.com/channel/UClCwRrbAdA0RMmL20IRdqqw,noobqoou
UClSHdqgOYiV5tTI6RiF4-Dg,http://www.youtube.com/channel/UClSHdqgOYiV5tTI6RiF4-Dg,Voice Makers
UCoEryX-WO7IHBGqTAC5r9Zw,http://www.youtube.com/channel/UCoEryX-WO7IHBGqTAC5r9Zw,Shake Music
UCowfTrXzoclM3uu53r_LBCA,http://www.youtube.com/channel/UCowfTrXzoclM3uu53r_LBCA,Felipe Billi
UCq2TNlENsbxMgoajoDMkc8g,http://www.youtube.com/channel/UCq2TNlENsbxMgoajoDMkc8g,Procrasti Nation
UCsQFHlc4tvv9vtWbfBjdMQw,http://www.youtube.com/channel/UCsQFHlc4tvv9vtWbfBjdMQw,memju khabyfan
UCu4TumUmUdU_YmbSuvEOvNg,http://www.youtube.com/channel/UCu4TumUmUdU_YmbSuvEOvNg,Trailer Music Empire





