ID do vídeo,Song Title,Album Title,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5,Artist Name 6,Artist Name 7,Artist Name 8,Artist Name 9,Artist Name 10
SxAvr92fRg4,DNA,LOVE YOURSELF 結 'Answer',BTS,,,,,,,,,
mjZEDiDhYQQ,Filhote do Filhote,Carrossel (Especial Astros),Elenco Carrossel,,,,,,,,,
qFdoMMR-7fc,Friends,Nostalgia - EP,Chase Atlantic,,,,,,,,,
SKi6eiN3qhc,Matemática,Geração Z,Restart,,,,,,,,,
YMQ4YFz7iL0,Monte Castelo,As Quatro Estações,Legiao Urbana,,,,,,,,,
R1pi2kLDBqs,Poesia Acústica #6 Era uma Vez,Poesia Acústica #6 Era uma Vez,Pineapple StormTv,MC Cabelinho,Bob do Contra,Azzy,Filipe Ret,Dudu,Xamã,Orochi,Maquiny,Salve Malak
Aq9ocKJ2jPY,Surtada (Remix Brega Funk),Surtada (Remix Brega Funk),Dadá Boladão,Tati Zaqui,OIK,,,,,,,
ykP640XEjSQ,Swim,Chase Atlantic,Chase Atlantic,,,,,,,,,





