ID do comentário,ID do canal,Carimbo de data/hora em que o comentário foi criado,Preço,ID do comentário principal,ID do vídeo,Texto do comentário,ID do comentário de nível superior
Ugwt05dwAiWLnzJysnZ4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2025-12-27T17:31:03.869315+00:00,0,,v82Z8IxOCKo,"{""text"":""Craques da Bola""}",
UgzGdCP-yxFFNIWiIZt4AaABAg.AQ6eJUpX9C1AQMh6EQDwvN,UCDBnBJ2_rN3m97D1RNJju4Q,2025-12-05T19:32:02.888804+00:00,0,UgzGdCP-yxFFNIWiIZt4AaABAg,Zyncc88sKiw,"{""text"":""Saudades""}",UgzGdCP-yxFFNIWiIZt4AaABAg
Ugzd771MCA49zNizTbx4AaABAg.9Xmg0sSvVuPAJV08XS2AQQ,UCDBnBJ2_rN3m97D1RNJju4Q,2025-06-18T01:21:17.394368+00:00,0,Ugzd771MCA49zNizTbx4AaABAg,T3SXD_XbJsg,"{""text"":""Brazilll""}",Ugzd771MCA49zNizTbx4AaABAg
UgzvsCpZcE5EVvhK7Dt4AaABAg.9GewvmVSjozAJ2QgL3gqic,UCDBnBJ2_rN3m97D1RNJju4Q,2025-06-06T22:55:15.333033+00:00,0,UgzvsCpZcE5EVvhK7Dt4AaABAg,Tart5uvChdo,"{""text"":""Chegamos em 2025! Que orgulho de vc!!!""}",UgzvsCpZcE5EVvhK7Dt4AaABAg
UgwcITqErJrTBvKO-1V4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2025-01-12T00:42:24.549009+00:00,0,,rr72H3oEZLs,"{""text"":""Me notaaa""}",
Ugy6DyZVPqATj-pq6Y54AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2024-10-19T01:12:05.304009+00:00,0,,H8rGDEeNv_w,"{""text"":""Manda skin pra mim 😊""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
UgzpA7g2J119f96-a6J4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2024-10-19T01:11:29.049319+00:00,0,,H8rGDEeNv_w,"{""text"":""Salveeeee""}",
UgxH89Q4p90IjPrM4xt4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2024-08-26T00:14:03.367849+00:00,0,,1UvvFoiZcas,"{""text"":""Guilherme: peço a Deus que venha abençoar a minha área sentimental! 🙌🙏""}",
UgxDY45iVsWMmRK-CiR4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2024-08-19T23:32:04.128654+00:00,0,,VV8ybKNpc0E,"{""text"":""Manda um salveeeeeee""}",
Ugw1gN8zs3b6XA0eaYN4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2024-07-22T16:49:59.596996+00:00,0,,W59e6O7j2fE,"{""text"":""Canal 90 já fez de todos! Tá atrasado!""}",
