ID do vídeo,Carimbo de data/hora da criação do vídeo da playlist
KUV_X4u07bI,2025-04-06T19:04:12+00:00
q_8QomXrQ70,2025-04-06T19:04:27+00:00
ICS6uKC93w0,2025-04-06T19:04:37+00:00
huIfzRaa6zg,2025-04-06T19:04:42+00:00
0qYpAu4ijtQ,2025-04-06T19:04:47+00:00
jmgbxrd4Gw4,2025-04-06T19:04:51+00:00
LH1llA7jpRU,2025-04-06T19:05:04+00:00
51lOFuCR7dE,2025-04-06T19:11:51+00:00
4gmR2XfjztA,2025-04-06T19:12:29+00:00
2mk2fYkqmpQ,2025-04-06T19:14:32+00:00
BJfnGsvOmWM,2025-04-06T19:17:52+00:00
RJNrSvFMHxs,2025-04-06T19:18:19+00:00
bQcMaE2QGK0,2025-04-06T19:51:45+00:00
1dn2w-E0USY,2025-04-22T17:19:04+00:00





