ID do vídeo,Carimbo de data/hora da criação do vídeo da playlist
a4O-abCXsfA,2025-12-11T02:39:11+00:00
kIft-LUHHVA,2025-12-11T02:39:24+00:00
FjOhnPD_RXo,2025-12-11T02:39:42+00:00
62yox0F5lcA,2025-12-11T02:39:50+00:00
uN_qDyNhU7o,2025-12-11T02:40:00+00:00
ZM8rAsTT7yE,2025-12-11T02:40:02+00:00
 -KrC-gqKTMg,2025-12-11T02:40:04+00:00
KsVnVdM9bUc,2025-12-11T02:40:08+00:00
j360s9CtZTs,2025-12-11T02:40:18+00:00
mHTO2Xu3dlg,2025-12-11T02:40:29+00:00
az48Jxpeji0,2025-12-11T02:40:41+00:00
sPFT0sa9qe4,2025-12-11T02:41:23+00:00
0orWxQAii60,2025-12-11T02:41:37+00:00
hI2f51FmEy4,2025-12-11T02:41:42+00:00
U7sBzQMq7hQ,2025-12-11T02:41:45+00:00
Ns0svgOVo10,2025-12-11T02:42:01+00:00
5kO6su6XlZQ,2025-12-11T02:43:02+00:00
7nVctvQVz0U,2025-12-11T02:52:44+00:00
G-fCOEZnnTs,2025-12-11T02:52:49+00:00
H5tO_9wZ0hg,2025-12-11T02:52:50+00:00
RqeTpaZD9Qo,2025-12-11T02:52:53+00:00
uiK5NT9yQBQ,2025-12-11T02:53:01+00:00
_QtN6qocpKU,2025-12-11T02:53:53+00:00
VZ-oGLluGAc,2025-12-11T02:55:11+00:00
cCfPDrRQp9k,2025-12-11T02:55:14+00:00
nI6GP8wKJ6o,2025-12-11T02:55:37+00:00
i52e1UnZMQc,2025-12-11T02:55:47+00:00
EtamqTN6zWQ,2025-12-11T02:56:00+00:00
ispxjEqpy74,2025-12-11T02:56:05+00:00
Z1yDjhXIDSc,2025-12-11T02:56:10+00:00
tth2GxvDZKw,2025-12-11T02:56:43+00:00
uLL2xTK35Qc,2025-12-11T02:57:01+00:00
2B9fBFtBXhU,2025-12-11T02:57:10+00:00
Bc9ijogGmtU,2025-12-11T02:57:51+00:00
b14Z5u1YdxQ,2025-12-11T02:58:02+00:00
i_GA5GFAyKE,2025-12-11T02:58:10+00:00
zTz1vCjDEb4,2025-12-11T02:58:15+00:00
osSXXIBV-Mk,2025-12-11T02:58:21+00:00
C8nObVkgCEM,2025-12-11T02:58:57+00:00
XZ868t23Pb4,2025-12-11T02:59:06+00:00
vpohuhgqf5w,2025-12-11T02:59:12+00:00
GftZ601-pXs,2025-12-11T02:59:34+00:00
4b_ugh-65NQ,2025-12-11T02:59:40+00:00
S3nrck7gcfk,2025-12-11T02:59:50+00:00
Ryg4YV4LmtY,2025-12-11T03:01:03+00:00
AdEKgwUqPKI,2025-12-11T03:01:39+00:00
ZujrPLw9y9E,2025-12-11T03:01:47+00:00
tVdr_JWmnsA,2025-12-11T03:02:51+00:00
AySMGpXQ1Mo,2025-12-11T03:03:06+00:00
jVBsM8CM0AE,2025-12-11T03:03:41+00:00
