ID do vídeo,Carimbo de data/hora da criação do vídeo da playlist
3yQytmGT05I,2022-07-29T20:54:52+00:00
SETK2maosQY,2022-07-29T20:57:19+00:00
X8jD3F9PI7Q,2022-07-29T20:59:53+00:00
BnLCjhPw-Do,2022-07-29T21:01:29+00:00
Zaqej20YUio,2022-07-29T21:03:35+00:00
TSq0EaT6PaE,2022-07-29T21:04:06+00:00
UvV0a52PExg,2022-07-29T21:04:19+00:00
0l6DvOCcTKM,2022-07-29T21:04:33+00:00
q_8QomXrQ70,2022-07-29T21:04:49+00:00
E6f1Zs1FqeQ,2022-07-29T21:05:17+00:00
g2MsSUf0M54,2022-07-29T21:05:31+00:00
jmgbxrd4Gw4,2022-07-29T21:06:21+00:00
gGP2wU619xU,2022-07-29T21:06:37+00:00
kur1m9lk2as,2022-07-29T21:07:28+00:00
z_kG63k8fqY,2022-07-29T21:08:20+00:00
Num1Lr8cryE,2022-07-29T21:08:44+00:00
z-gfPFVdXV8,2022-07-29T21:10:11+00:00
aIFcLQFPWYI,2022-07-30T20:00:16+00:00
_0ataYsjTRk,2022-07-30T20:06:37+00:00
2_xBCeBmaS8,2022-08-01T01:37:41+00:00
X0QJW_rRXkY,2022-08-01T01:41:49+00:00
VaLJO9ycpYI,2022-08-01T01:42:39+00:00
KD0p2L5Ni3s,2022-08-01T01:42:46+00:00
EhlhRIJygPM,2022-08-01T01:46:17+00:00
PfLDBlHm8u4,2022-08-07T23:41:00+00:00
6_RbksCd5LA,2022-08-14T23:11:50+00:00
SnuJ6C3AZsk,2022-08-17T23:19:30+00:00
rBU17BVDwuo,2022-08-17T23:31:56+00:00
QhlFogPIFmE,2022-09-08T18:12:08+00:00
KMav3dBOu_c,2022-09-08T18:14:52+00:00
rGdFUNLXnnQ,2022-09-29T18:24:09+00:00
A-FfV1ek-B4,2022-10-06T22:11:10+00:00
HP5wapaQO4Q,2022-11-28T18:47:11+00:00





