ID do vídeo,Carimbo de data/hora da criação do vídeo da playlist
R0RF2UO1iAM,2022-11-29T18:50:02+00:00
Pwd64EGQ1w0,2022-11-29T18:52:12+00:00
8SvAif6uu6k,2022-11-29T18:52:41+00:00
w0fJ_LUZ9o8,2022-11-29T18:53:41+00:00
bFOAZD6P4QE,2022-11-29T18:54:50+00:00
hVOsHG9XTw0,2022-11-29T18:55:22+00:00
cc4og_BpscM,2022-11-29T18:55:33+00:00
a_dd6yKr3sc,2022-11-29T18:56:36+00:00
UcPyNBTkzGE,2023-08-16T17:20:36+00:00
S15a_7iqBzY,2023-08-19T18:19:05+00:00
r7-A9NqUjRI,2024-01-11T19:21:34+00:00
hgYhws0AHcg,2025-03-20T17:29:06+00:00





