ID do vídeo,Carimbo de data/hora da criação do vídeo da playlist
O2YJKPk5Sd8,2020-06-12T01:52:38+00:00
sIJBR1zJOko,2020-06-13T13:17:30+00:00
xaaexep--eU,2020-06-13T20:41:19+00:00
A5awPsuqkbE,2020-06-19T17:24:16+00:00
oXXiDdggXrA,2020-06-22T16:20:55+00:00
i5hCzmRHYo8,2020-06-27T23:16:57+00:00
IrKVeHuJOMw,2020-06-28T17:43:24+00:00
CoVDw2GilY0,2020-07-06T10:43:18+00:00
B3NMC38wePQ,2020-07-06T11:56:15+00:00
z0i68kQdmq4,2020-07-06T20:48:39+00:00
F0uSL0AWYME,2020-07-12T13:37:19+00:00
Vj2Q_a9-r7w,2020-07-15T14:07:02+00:00
W4mrvKwDdhY,2020-07-19T16:55:26+00:00
qLYoNxzFqLg,2020-07-22T12:39:51+00:00
50947cdgRBk,2020-07-22T13:45:39+00:00
cBlW9hh7Ru4,2020-07-24T01:42:28+00:00
4SDV2ymzXFI,2020-07-30T14:12:15+00:00
5ZRPU4jvSiI,2020-08-02T01:37:56+00:00
Re2LDRjqP9U,2020-08-02T01:40:10+00:00
XxHOS1cON5Q,2020-08-03T14:45:49+00:00
EAIu1L4w3lc,2020-08-05T22:16:24+00:00
TiCmMYI4N-U,2020-08-06T01:54:40+00:00
T3LIVhohB74,2020-08-10T11:06:21+00:00
DKrLP1QBeuM,2020-08-13T11:12:29+00:00
uSFhtfxLs5c,2020-08-13T11:12:47+00:00
9mOAbMiG_Dw,2020-08-14T15:23:39+00:00
ye3E8RrOWA4,2020-08-18T11:36:51+00:00
KZmJZJ6HA0s,2020-08-19T12:33:25+00:00
5rmBjd6inTg,2020-08-20T17:29:23+00:00
HLuFhh14KeM,2020-08-23T01:54:36+00:00
vcpQlHIDv_4,2020-08-24T22:45:04+00:00
_q82nXxGWt0,2020-08-26T13:15:32+00:00
t-iVJm9NTe0,2020-08-26T13:33:24+00:00
8nqkWZrlnQU,2020-08-29T02:08:25+00:00
uSIZaSactlg,2020-09-02T14:07:32+00:00
