ID do comentário,ID do canal,Carimbo de data/hora em que o comentário foi criado,Preço,ID do comentário principal,ID do post,ID do vídeo,Texto do comentário,ID do comentário de nível superior
UgzXi-kH7M-J-5aPZW14AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2023-01-04T16:35:28.467366+00:00,0,,,FM8_dIBtTx4,"{""text"":""Adam adams""}",
Ugw0EZ7EORUcPMSmaAB4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2022-09-14T21:24:37.382686+00:00,0,,,2wfhLFl0lIA,"{""text"":""Comida verde! Se vc achar um chocolate verde eu desisto""}",
UgwXnxZ11fFukVbz1Rp4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2022-01-09T14:54:24.659252+00:00,0,,,AH1pMQNKWOY,"{""text"":""É pq inglês é mt falada no mundo todo kkkkkkk eles tem preguiça de saber português""}",
Ugzdpa4mGDfgk_8uZsR4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-12-29T00:43:50.088606+00:00,0,,,FDA7vXv5rk4,"{""text"":""kkkkkkkk bem que o Pain poderia contratar a minha mãe q é educadora financeira hem, ia descomplicar d+""}",
UgxxdNIZ2hmXpPsaC_B4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-10-19T19:49:50.970078+00:00,0,,, -pLV1C4-Igs,"{""text"":""Itachi""},{""text"":""\n""},{""text"":""Neji""},{""text"":""\n""},{""text"":""Hinata ""},{""text"":""\n""},{""text"":""Os dois""},{""text"":""\n""},{""text"":""Os dois""},{""text"":""\n""},{""text"":""😍😍😍""}",
UgzMXFcpMDZcKM8V2Kt4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-10-09T14:01:04.433561+00:00,0,,,RCFBwSUBqlI,"{""text"":""Cadê a versão pro spotfy???""}",
Ugys3kld0RzNuvX_bAZ4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-09-06T23:26:55.621679+00:00,0,,,Txwg8RSZ2ys,"{""text"":""Easy, a irmã apaixonada, ela queria encontrar o homem ent matou a irmã para vwlo no funeral""}",
Ugyi0lkZrnYO4Vt_i0t4AaABAg.9O1C3NkKYSp9QoyHXL0Geu,UCE-BugMZLkNeJnisYxxMOWA,2021-08-09T10:50:53.373546+00:00,0,Ugyi0lkZrnYO4Vt_i0t4AaABAg,,RWqrvqyTQO8,"{""text"":""nao dá pra jogar no celular""},{""text"":""\n""},{""text"":""apenas no PC""}",Ugyi0lkZrnYO4Vt_i0t4AaABAg
UgznFEPOoqMjGBK9M_V4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-07-09T12:53:15.79138+00:00,0,,,WncaKudd5rM,"{""text"":""2""}",
UgxIP9uVItKScAyf7VN4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-07-09T09:40:03.355514+00:00,0,,UgxliB-d8ZHYGVmG6yl4AaABCQ,,"{""text"":""Atum😍""}",
UgykyovhaxDSSsGWJNx4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-06-27T22:35:27.873041+00:00,0,,,SzWlXMmEYJg,"{""text"":""merece parte 2""}",
UgwqK6OFn8kd45yosxh4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-06-27T22:30:57.144159+00:00,0,,,3Sa2ngR3bbI,"{""text"":""Like aqui pra parte 2""}",
UgyxcW_QlFQZAn2ONUV4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-05-17T21:13:30.222307+00:00,0,,,KUyiQRWRYwk,"{""text"":""Todos fizeram, a Luiza e a laura uzam chortes diferentes, o mesmo se aplica pros outros dois""}",
Ugzn0GxSKY4fLogiO7p4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-05-07T16:17:32.029214+00:00,0,,,DGT5aTdjVhA,"{""text"":""Ficou linda💟""}",
Ugxa5ZvWU2AHfCHOYUt4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-03-23T11:04:24.481452+00:00,0,,,ezzaYNacIaU,"{""text"":""Naruto, Kakashi, minato""}",
UgwL-28kBc--3gOt8zF4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-01-30T14:15:40.019067+00:00,0,,,iRiDJW7sL0A,"{""text"":""#toligada"",""hashtag"":{""hashtagId"":""toligada""}}",
Ugy1YBS_dpd6Hs8oEd94AaABAg.9J8UMmruAO19J8UNuF45mW,UCE-BugMZLkNeJnisYxxMOWA,2021-01-30T13:53:46.569149+00:00,0,Ugy1YBS_dpd6Hs8oEd94AaABAg,,LCCU7R8lLVw,"{""text"":""?""}",Ugy1YBS_dpd6Hs8oEd94AaABAg
Ugy1YBS_dpd6Hs8oEd94AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-01-30T13:53:37.647255+00:00,0,,,LCCU7R8lLVw,"{""text"":""Mas e oque eu faço com os potinho""}",
UgzTav1IIhC41aVRi-Z4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-01-30T11:50:24.361879+00:00,0,,,LCCU7R8lLVw,"{""text"":""#nathguara"",""hashtag"":{""hashtagId"":""nathguara""}}",
UgxbXxI-7MUOgIlaKZl4AaABAg,UCE-BugMZLkNeJnisYxxMOWA,2021-01-30T11:49:42.557878+00:00,0,,,LCCU7R8lLVw,"{""text"":""#TAVAZIA"",""hashtag"":{""hashtagId"":""tavazia""}},{""text"":"" Nath""}",





