ID do vídeo,Endereço de onde o vídeo foi gravado,Data da gravação do vídeo,Altitude de gravação do vídeo,Latitude da gravação do vídeo,Longitude da gravação do vídeo,ID do local derivado da API Places do Google
elalr6v8KpA,,,0,0,0,
c8qMEDPdeKQ,,,0,0,0,
ArtNEspy70w,,,0,0,0,
yEBo5zvrb7Q,,,0,0,0,
oL5jkbls_6g,,,0,0,0,
VXw3eDWoypM,,,0,0,0,
kk3TVmzL5XY,,,0,0,0,
NOPlPKNNdpA,São Paulo,2023-12-05T00:00:00+00:00,0,-23.5558,-46.6396,ChIJ0WGkg4FEzpQRrlsz_whLqZs
myLw3XJK0LM,,,0,0,0,
vxPNwnt7oK0,,,0,0,0,
LDEeCYu5LKw,,,0,0,0,
qzdCRwhrUoU,,,0,0,0,





