ID do vídeo,Carimbo de data/hora da criação do texto do vídeo,Segmentos 1 do texto de descrição do vídeo,Segmentos 1 do texto do título do vídeo,Carimbo de data/hora da atualização do texto do vídeo
ArtNEspy70w,2021-06-13T14:53:41.427132+00:00,,Receita de guacamole!,2023-08-10T19:00:30.601273+00:00
yEBo5zvrb7Q,2022-02-14T21:46:14.173577+00:00,,Inscrição para o TechSchool 2022,2023-08-09T23:46:56.546018+00:00
oL5jkbls_6g,2023-02-11T22:38:17.428954+00:00,,Vídeo de inscrição pra Technocation Summer School for Girls,2023-08-11T15:20:40.337444+00:00
VXw3eDWoypM,2023-10-21T12:28:37.634366+00:00,,Estatuto do homem,2023-10-21T12:28:37.634366+00:00
kk3TVmzL5XY,2023-12-03T18:58:07.548811+00:00,,Entrevista TCC Sofia Bonini,2023-12-03T18:58:07.548811+00:00
NOPlPKNNdpA,2023-12-06T11:09:44.97458+00:00,"Apresentação da Sofia Bonini, 14 anos, do Trabalho de Conclusão de Curso do 9º ano do Ensino Fundamental, da Escola Municipal de Ensino Fundamental Desembargador Amorim Lima, na cidade de São Paulo, em 05 de dezembro de 2023, tutorado pela Profª Lilian Ianishi.",Hipnoterapia - Apresentação da Sofia do TCC do 9º ano EF,2023-12-06T11:26:38.111496+00:00
myLw3XJK0LM,2025-05-05T20:20:01.20105+00:00,Heey! Hope you enjoy CoinK's propose,CoinK Pitch Video Technovation 2025,2025-05-05T20:20:27.460542+00:00
qzdCRwhrUoU,2025-05-05T20:43:54.457949+00:00,Hope you enjoy!,CoinK Technical Video Technovation 2025,2025-05-05T20:43:54.457949+00:00





