ID do vídeo,Carimbo de data/hora da criação do vídeo da playlist
YteMhrQvfCo,2022-01-17T12:09:50+00:00
JHRXcBlzGaY,2022-01-15T10:55:34+00:00
TJGzxG70eEk,2022-01-17T12:06:45+00:00
YCDCwuGcEmA,2022-01-15T10:55:47+00:00
xQ79cheWg5g,2021-12-28T11:10:13+00:00
rE7q1uhj4g4,2021-12-28T11:12:07+00:00
yw4jVjO64BU,2021-12-28T11:10:47+00:00
iXgBwTUPqkY,2022-01-15T10:55:58+00:00
bI7QZHzva-E,2022-02-01T11:31:02+00:00
SHIL6F4fz_Y,2022-02-01T11:30:46+00:00
vfUWFjnab_8,2021-12-28T11:15:46+00:00
9x4QNOo9_Is,2021-12-28T11:13:09+00:00
4e33gj1W0EY,2021-12-28T11:11:22+00:00
jYoLNSzaUOQ,2024-04-11T19:28:45+00:00
aPDXt3h1noc,2024-04-11T19:29:59+00:00
v-y9rdx8s34,2024-04-11T19:32:17+00:00
WCDRkTDtsFM,2024-04-11T19:32:39+00:00
AV1biKT426I,2024-04-11T19:33:20+00:00
OqV5qGYKFVw,2024-04-11T19:38:59+00:00
esLEZZLO7aw,2024-04-11T19:39:45+00:00
BDfMPXhYaDM,2024-04-11T19:40:03+00:00
Z8c46yEFZA8,2024-04-11T19:40:28+00:00
6XFom6EzkPk,2024-04-11T19:44:00+00:00
RYgIVc5Jvjg,2024-04-11T19:44:24+00:00
fqMFg4Lq5AE,2024-04-11T19:47:01+00:00
RMEDgZ-4Epg,2024-04-11T19:48:57+00:00
QS8KED1tY3Q,2024-04-11T19:51:19+00:00
HXqKft_054g,2024-04-11T19:56:18+00:00
ObSaV9hW-k8,2024-04-11T20:01:10+00:00
rp9I1Pep-cc,2024-04-11T20:05:34+00:00
vmE32Jm_ZYA,2024-04-11T20:08:11+00:00





