ID do vídeo,Carimbo de data/hora da criação do vídeo da playlist
S3eFxkxpe20,2025-12-27T02:02:34+00:00
969FyTqtbw0,2024-02-23T11:57:29+00:00
zl2gPLqSs1o,2023-03-10T05:52:50+00:00
LdcvDoqVJXk,2022-11-10T23:15:31+00:00
kL6fN3HNAXo,2022-09-13T19:56:46+00:00
W44TDzdY7As,2022-08-28T17:03:47+00:00
abVJgfnW24w,2022-04-10T20:20:42+00:00
qbb2Xc2pPa4,2022-04-04T18:30:50+00:00
XKv4gcbKV2Y,2022-02-15T00:31:37+00:00
JLoA1Y2UpxQ,2022-01-17T12:13:00+00:00
02EBJO075WE,2021-11-02T12:10:25+00:00
jGcn2GE5x2k,2021-10-16T17:07:37+00:00
zOOvPX5z9H0,2021-10-15T19:20:00+00:00
s2OO70xN8Yo,2021-07-26T15:40:47+00:00
VpUoSXmUCbc,2021-07-23T11:08:19+00:00
2_ZihIOPHS4,2021-07-19T13:36:29+00:00
d0-Vw1NkQfo,2021-07-16T14:54:09+00:00
fMut2esOT5w,2021-07-01T11:46:26+00:00
lpbyx9O8PP0,2021-06-03T14:03:20+00:00
L_Eji4yxu8Q,2021-04-10T23:04:08+00:00
LSDW_pz5cfs,2021-04-10T20:39:18+00:00
drE27rmomvg,2021-04-10T20:39:10+00:00
SI-EkV8XyKU,2021-04-10T17:49:54+00:00
xnmpvO-gt6w,2021-04-06T12:29:55+00:00
Tz49Y_jVmSM,2021-04-04T19:29:50+00:00
q6yiNkun3lU,2021-03-17T15:52:07+00:00
agj8uR8_1RU,2021-03-11T15:52:06+00:00
Ua5vceUxhUA,2021-03-11T15:51:55+00:00
4nFLVk-ygiY,2021-02-28T21:14:30+00:00
iXiWfLSw5Iw,2021-02-28T19:33:13+00:00
dU2HMsaIoaY,2021-02-28T19:32:49+00:00
ubAL320KXR0,2021-02-28T19:32:39+00:00
0gq9I3SWOU4,2021-02-28T19:32:29+00:00
9C7OpVzLSjA,2021-02-28T19:31:19+00:00
VTVQzRq6Bl4,2021-02-28T19:32:15+00:00
D5BWgXo4lK0,2021-02-28T19:32:07+00:00
kUXirKgO-8Y,2021-02-28T19:31:35+00:00
tvTCEg8NUmI,2021-02-28T19:31:14+00:00
CDS9W_PRQiA,2021-02-28T19:31:01+00:00
Irt0ZI0IR8g,2021-02-28T19:30:54+00:00
UVUqvUJUgek,2021-02-28T19:29:18+00:00
3LgaceD1LAI,2021-02-28T19:29:27+00:00
ZKSUVegKuyo,2021-02-28T19:29:38+00:00
yltlJEdSAHw,2021-02-28T19:27:47+00:00
ufNrDc8nU6Q,2021-02-28T19:30:11+00:00
vRHgUi5tERI,2021-02-28T19:30:16+00:00
wFqnH2iemIc,2021-02-28T19:29:12+00:00
rVlhMGQgDkY,2021-02-28T19:28:08+00:00
bTO3yfWWmWM,2021-02-28T19:27:40+00:00
iwMqsKDTdQ0,2021-02-28T19:26:55+00:00
ydhW5dpR8GY,2021-02-28T19:27:08+00:00
_IEshqoTRsQ,2021-02-28T19:27:01+00:00
ooLUbP4tIWY,2021-02-28T19:29:46+00:00
ck7wjGBZk1I,2021-02-28T19:28:53+00:00
dM5SA2RIrUs,2021-02-28T19:27:58+00:00
FrbfkAPXsEQ,2020-12-31T10:24:35+00:00
mwhDoqL-060,2021-04-06T12:30:03+00:00
IkSoArQYlWg,2021-02-28T19:27:28+00:00





