ID do chat ao vivo,ID do canal,Marcação de tempo da criação do chat ao vivo,Preço,ID do vídeo,Texto do chat ao vivo
Ugxg_lF0waCeqts5U1R4AaABDqgB-7OWnAI,UC0hkw9AMjAfo0y78nTuRWfA,2026-01-12T23:00:40.906546+00:00,0,OGrp5L0KFe4,"{""text"":""simm""}"
UgyvDlIcAtRKtN7m1Mx4AaABDqgB9_S7gwI,UC0hkw9AMjAfo0y78nTuRWfA,2026-01-12T22:56:22.036385+00:00,0,OGrp5L0KFe4,"{""text"":""trellooo""}"
UgzpF_SEeZsCLFTEaZV4AaABDqgBvP68mAI,UC0hkw9AMjAfo0y78nTuRWfA,2026-01-12T22:54:38.819714+00:00,0,OGrp5L0KFe4,"{""text"":""7""}"
Ugw3i5gYGPjAfb-kPJJ4AaABDqgBurnMjAI,UC0hkw9AMjAfo0y78nTuRWfA,2026-01-12T22:20:20.094369+00:00,0,OGrp5L0KFe4,"{""text"":""euuu""}"
UgxnPK1B6cQEJ6w-l-Z4AaABDqgBgsutmQI,UC0hkw9AMjAfo0y78nTuRWfA,2026-01-12T22:12:02.666665+00:00,0,OGrp5L0KFe4,"{""text"":""Class of 2026""}"





