ID do canal,URL do canal,Título do canal
UCC_4Qpl1-Kysd-9hRTsoX8w,http://www.youtube.com/channel/UCC_4Qpl1-Kysd-9hRTsoX8w,WoMakersCode
UCGnsRwFS8Xm13lMAeouzT9g,http://www.youtube.com/channel/UCGnsRwFS8Xm13lMAeouzT9g,Allie Sherlock
UCP_lo1MFyx5IXDeD9s_6nUw,http://www.youtube.com/channel/UCP_lo1MFyx5IXDeD9s_6nUw,Meta Developers
UCbwRqQqZh1ycZ_cZw3rjOLA,http://www.youtube.com/channel/UCbwRqQqZh1ycZ_cZw3rjOLA,Calebe Cravo
UCePyJZBjplMkrMp0kW-HxFg,http://www.youtube.com/channel/UCePyJZBjplMkrMp0kW-HxFg,The Dream School
UChzps1qR8zGLHCDQ5E51GOA,http://www.youtube.com/channel/UChzps1qR8zGLHCDQ5E51GOA,Repo Dev
UCwSVZMy2NHxdmVt2-7EeNOA,http://www.youtube.com/channel/UCwSVZMy2NHxdmVt2-7EeNOA,Lorena Vieira 





