ID do comentário,ID do canal,Carimbo de data/hora em que o comentário foi criado,Preço,ID do comentário principal,ID do post,ID do vídeo,Texto do comentário,ID do comentário de nível superior
UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QWsBZZPU-H,UCDBnBJ2_rN3m97D1RNJju4Q,2021-08-02T00:52:04.654154+00:00,0,UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QQnUzIz7OX,,SkZhO31_f9k,"{""text"":""@JooaoVT"",""mention"":{""externalChannelId"":""UC36CJKLWuU0R-UBhNE7kjgA""}},{""text"":"" eu sei q vc respeita""}",UgwtQq7ttNDh3cdzkjV4AaABAg
UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QWsALVQtKP,UCDBnBJ2_rN3m97D1RNJju4Q,2021-08-02T00:51:54.652166+00:00,0,UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QQnUzIz7OX,,SkZhO31_f9k,"{""text"":""@JooaoVT"",""mention"":{""externalChannelId"":""UC36CJKLWuU0R-UBhNE7kjgA""}},{""text"":"" eu avisei vc!!! Mas isso foi para a Jennifer""}",UgwtQq7ttNDh3cdzkjV4AaABAg
UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QWma5hCZoI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-08-02T00:03:08.085656+00:00,0,UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QQnUzIz7OX,,SkZhO31_f9k,"{""text"":""@Jennifer"",""mention"":{""externalChannelId"":""UCbA-3dCR1GMwcqZW3NFNiGw""}},{""text"":"" é isso q to querendo te dizer""}",UgwtQq7ttNDh3cdzkjV4AaABAg
UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QWmVf7653q,UCDBnBJ2_rN3m97D1RNJju4Q,2021-08-02T00:02:23.607295+00:00,0,UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QRJPuhVzAv,,SkZhO31_f9k,"{""text"":""@LagartixaPlaysBr"",""mention"":{""externalChannelId"":""UCcaD2Bz38rcVpu2mf8FAQBQ""}},{""text"":"" vdd!!!""}",UgwtQq7ttNDh3cdzkjV4AaABAg
UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QWmTAPv4CF,UCDBnBJ2_rN3m97D1RNJju4Q,2021-08-02T00:02:03.110049+00:00,0,UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QQnUzIz7OX,,SkZhO31_f9k,"{""text"":""@JooaoVT"",""mention"":{""externalChannelId"":""UC36CJKLWuU0R-UBhNE7kjgA""}},{""text"":"" não, tudo bem, mas acho q se as pessoas não querem os itens, respeita o direito delas""}",UgwtQq7ttNDh3cdzkjV4AaABAg
UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QU7l0ZLmAc,UCDBnBJ2_rN3m97D1RNJju4Q,2021-07-31T23:19:08.579515+00:00,0,UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QRJPuhVzAv,,SkZhO31_f9k,"{""text"":""@LagartixaPlaysBr"",""mention"":{""externalChannelId"":""UCcaD2Bz38rcVpu2mf8FAQBQ""}},{""text"":"" não vale a pena se envolver com essas pessoas""}",UgwtQq7ttNDh3cdzkjV4AaABAg
UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QU7ddOAFB3,UCDBnBJ2_rN3m97D1RNJju4Q,2021-07-31T23:18:08.13632+00:00,0,UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QQnUzIz7OX,,SkZhO31_f9k,"{""text"":""@Jennifer"",""mention"":{""externalChannelId"":""UCbA-3dCR1GMwcqZW3NFNiGw""}},{""text"":"" kkkkkkk, kid não sabe nem oq fala""}",UgwtQq7ttNDh3cdzkjV4AaABAg
UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QTkYGpImrQ,UCDBnBJ2_rN3m97D1RNJju4Q,2021-07-31T19:47:33.032346+00:00,0,UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QQnUzIz7OX,,SkZhO31_f9k,"{""text"":""@Jennifer"",""mention"":{""externalChannelId"":""UCbA-3dCR1GMwcqZW3NFNiGw""}},{""text"":"" assim q kid age""}",UgwtQq7ttNDh3cdzkjV4AaABAg
UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QRu6e_HtUh,UCDBnBJ2_rN3m97D1RNJju4Q,2021-07-31T02:32:40.881834+00:00,0,UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QRJPuhVzAv,,SkZhO31_f9k,"{""text"":""E, sinceramente, jogo não tem que se misturar com esses tipos de coisa""}",UgwtQq7ttNDh3cdzkjV4AaABAg
UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QRu23dPs96,UCDBnBJ2_rN3m97D1RNJju4Q,2021-07-31T02:32:03.262171+00:00,0,UgwtQq7ttNDh3cdzkjV4AaABAg.9QNDXP9dbkY9QRJPuhVzAv,,SkZhO31_f9k,"{""text"":""@LagartixaPlaysBr"",""mention"":{""externalChannelId"":""UCcaD2Bz38rcVpu2mf8FAQBQ""}},{""text"":"" concordo com vc!!! Eu ainda jogo, mas to pensando em desistir, pois o jogo ta muito tóxico!!!""}",UgwtQq7ttNDh3cdzkjV4AaABAg
