ID do canal,URL do canal,Título do canal
UC-F6LZSWz34xKknY8NNCzgQ,http://www.youtube.com/channel/UC-F6LZSWz34xKknY8NNCzgQ,PDK Films
UC-GhFOHQWAP0nUxTMKtjCOQ,http://www.youtube.com/channel/UC-GhFOHQWAP0nUxTMKtjCOQ,Fala de Tudo
UC-Tvz0FJd6xRvVDw_4dc_GQ,http://www.youtube.com/channel/UC-Tvz0FJd6xRvVDw_4dc_GQ,Gelli Clash
UC-avDbSeXrTlHQ1QVzlbaog,http://www.youtube.com/channel/UC-avDbSeXrTlHQ1QVzlbaog,Oli Natu
UC-iN-SvDSt9fU8MJ33Wcfxw,http://www.youtube.com/channel/UC-iN-SvDSt9fU8MJ33Wcfxw,Sharshock
UC05pQbIzg2dxw5IqtqqpJlg,http://www.youtube.com/channel/UC05pQbIzg2dxw5IqtqqpJlg,Encrypto'd
UC0HqfXYJMPaQzRgmAhLR15g,http://www.youtube.com/channel/UC0HqfXYJMPaQzRgmAhLR15g,Sherby
UC0ILPO-k8pIwEJWZY5D2CpQ,http://www.youtube.com/channel/UC0ILPO-k8pIwEJWZY5D2CpQ,Derium's Pokemon
UC0JhlRkfXzvAJehuEeVjqpg,http://www.youtube.com/channel/UC0JhlRkfXzvAJehuEeVjqpg,Memphis Depay
UC0bC92gFO25qcJcECTQNN_A,http://www.youtube.com/channel/UC0bC92gFO25qcJcECTQNN_A,Flakes Power
UC0odmP6ffEw3iVwTEyt-UKA,http://www.youtube.com/channel/UC0odmP6ffEw3iVwTEyt-UKA,Edu Primitivo
UC13ikrGSy3E2AveqLAI9lqg,http://www.youtube.com/channel/UC13ikrGSy3E2AveqLAI9lqg,Richard Rasmussen
UC17wnw7BfA_z3AzcO_71Mrw,http://www.youtube.com/channel/UC17wnw7BfA_z3AzcO_71Mrw,Winkazi
UC19aAr6UojQesIVCBsXJGIw,http://www.youtube.com/channel/UC19aAr6UojQesIVCBsXJGIw,O Que Não Dizer Oficial
UC1H-sZk-cj-tDpfTCZ1f1YQ,http://www.youtube.com/channel/UC1H-sZk-cj-tDpfTCZ1f1YQ,Balian
UC1SaV8cJ5u5U9iEZS6QRbpg,http://www.youtube.com/channel/UC1SaV8cJ5u5U9iEZS6QRbpg,5-Minute Crafts TEENS
UC1UHfW5LkMIlz6FHnEHbXlQ,http://www.youtube.com/channel/UC1UHfW5LkMIlz6FHnEHbXlQ,Christian Figueiredo
UC22Bmao5G2nYgNjK4DpRS1A,http://www.youtube.com/channel/UC22Bmao5G2nYgNjK4DpRS1A,BrEnO Renzi
UC2BxmdfALxSqXiZrdYdXw9Q,http://www.youtube.com/channel/UC2BxmdfALxSqXiZrdYdXw9Q,lelezote
UC2IEgRZcIuemAPJqXa2nHvQ,http://www.youtube.com/channel/UC2IEgRZcIuemAPJqXa2nHvQ,Pânico Retrô
UC2SDCks4VapaNKncvZSyMag,http://www.youtube.com/channel/UC2SDCks4VapaNKncvZSyMag,PAI TAMBÉM VLOGA
UC2SSuCec1NhkDPJe32EfC4g,http://www.youtube.com/channel/UC2SSuCec1NhkDPJe32EfC4g,FORTNÁTICOS
UC2Wzx-lPIuUdASvvLLcuXiQ,http://www.youtube.com/channel/UC2Wzx-lPIuUdASvvLLcuXiQ,Toni-ni
UC2i-nZqZoZkkAE816Z0FZvw,http://www.youtube.com/channel/UC2i-nZqZoZkkAE816Z0FZvw,IncrivelMente Curiosa
UC2l-HktVgiBNGAVFkfLx71g,http://www.youtube.com/channel/UC2l-HktVgiBNGAVFkfLx71g,Juliano Coração
UC32IwmJa_kbSjHTvZt3qpjA,http://www.youtube.com/channel/UC32IwmJa_kbSjHTvZt3qpjA,Felipe
UC32z4mtyiq02Ge-XWy78ibw,http://www.youtube.com/channel/UC32z4mtyiq02Ge-XWy78ibw,Aero Por Trás da Aviação
UC3FuTKmTcnA7byTvJFB7K0g,http://www.youtube.com/channel/UC3FuTKmTcnA7byTvJFB7K0g,PAC
UC3GB6W8SyUw6IAhSuqULdGw,http://www.youtube.com/channel/UC3GB6W8SyUw6IAhSuqULdGw,Janela da Rua
UC3J0_hogO6hW2mZK2547hWA,http://www.youtube.com/channel/UC3J0_hogO6hW2mZK2547hWA,Dengoso
UC3KHYFWeB0WimMBfm3NEahQ,http://www.youtube.com/channel/UC3KHYFWeB0WimMBfm3NEahQ,UOL Esporte
UC3OEyUVycZn9e5_Tl7pPlWg,http://www.youtube.com/channel/UC3OEyUVycZn9e5_Tl7pPlWg,Blucker
UC3_ASPgD-kYhRSoxAb79_Sw,http://www.youtube.com/channel/UC3_ASPgD-kYhRSoxAb79_Sw,HYPEX
UC3b_kr_7n0TtAqtyBB00-aA,http://www.youtube.com/channel/UC3b_kr_7n0TtAqtyBB00-aA,Inv3nção
UC3d7Ix6GrtxESULE5Auj_Zg,http://www.youtube.com/channel/UC3d7Ix6GrtxESULE5Auj_Zg,Câmeras Escondidas Programa Silvio Santos
UC3uPIRgRD20f8ykjYXIWsrw,http://www.youtube.com/channel/UC3uPIRgRD20f8ykjYXIWsrw,Eduardo Sampaio
UC4IMfO_--bwBaNgWeoLxAgg,http://www.youtube.com/channel/UC4IMfO_--bwBaNgWeoLxAgg,PlayHard
UC4mrIxhwm6RyOYj7glHs6mQ,http://www.youtube.com/channel/UC4mrIxhwm6RyOYj7glHs6mQ,Canal Ousadia com Luis Desiró
UC57XAjJ04TY8gNxOWf-Sy0Q,http://www.youtube.com/channel/UC57XAjJ04TY8gNxOWf-Sy0Q,5-Minute Crafts PLAY
UC5ChiVEeb_m70Nos0fO0fsA,http://www.youtube.com/channel/UC5ChiVEeb_m70Nos0fO0fsA,FortTube
UC5dDsjDfnLk8V09scf2S2xw,http://www.youtube.com/channel/UC5dDsjDfnLk8V09scf2S2xw,CalebTheCashew
UC5q9qCVLZ8sn7HEp5eHc-cg,http://www.youtube.com/channel/UC5q9qCVLZ8sn7HEp5eHc-cg,IFSOP
UC607Gii1uo93qDqiGR6-c3w,http://www.youtube.com/channel/UC607Gii1uo93qDqiGR6-c3w,MUSSA
UC6AOoKmUaRfhZwDpO7jigdQ,http://www.youtube.com/channel/UC6AOoKmUaRfhZwDpO7jigdQ,Antonio Konrath
UC6GB47LqwaOPDNNmDh-QQTQ,http://www.youtube.com/channel/UC6GB47LqwaOPDNNmDh-QQTQ,Josh Harmon
UC6JtbIHeizsxZyS20JwmriA,http://www.youtube.com/channel/UC6JtbIHeizsxZyS20JwmriA,Lucão
UC6VcWc1rAoWdBCM0JxrRQ3A,http://www.youtube.com/channel/UC6VcWc1rAoWdBCM0JxrRQ3A,Rockstar Games
UC6Y911_bau03ASOTwiBZ1QQ,http://www.youtube.com/channel/UC6Y911_bau03ASOTwiBZ1QQ,Gol Mania
UC6i4mzH3OPrZV0p64zoz-Ww,http://www.youtube.com/channel/UC6i4mzH3OPrZV0p64zoz-Ww,PlayStation Brasil
UC6mtQMzZVhnqZJEQhHiUzVA,http://www.youtube.com/channel/UC6mtQMzZVhnqZJEQhHiUzVA,Jonathan Nemer
UC6paX0kLA8D81aYogceMufw,http://www.youtube.com/channel/UC6paX0kLA8D81aYogceMufw,Rafa & Luiz
UC7-xgj9qGUt4qL_2zcR7Clg,http://www.youtube.com/channel/UC7-xgj9qGUt4qL_2zcR7Clg,Anninha
UC72UjVo3m_pH5kfG4fkAToA,http://www.youtube.com/channel/UC72UjVo3m_pH5kfG4fkAToA,Lucas Pavanato
UC7H4ByGK2Hki3hkuLcs-piQ,http://www.youtube.com/channel/UC7H4ByGK2Hki3hkuLcs-piQ,Orações Poderosas
UC7dN8lVhi2FPM9eZbMDrepw,http://www.youtube.com/channel/UC7dN8lVhi2FPM9eZbMDrepw,Brenner Mariano
UC7twa7FtAsN9KBc_PgXe_5w,http://www.youtube.com/channel/UC7twa7FtAsN9KBc_PgXe_5w,Epic Game
UC7wseMScXyaEP7ubWutNZmQ,http://www.youtube.com/channel/UC7wseMScXyaEP7ubWutNZmQ,D4rkFrame
UC83Tvu566Glh1OJR4gTDFIg,http://www.youtube.com/channel/UC83Tvu566Glh1OJR4gTDFIg,K Camp
UC8aTvyjY38Qf5rS1xBOWI3w,http://www.youtube.com/channel/UC8aTvyjY38Qf5rS1xBOWI3w,Gregory Kessey
UC9A70zHWT__VE5oWmTg2-xA,http://www.youtube.com/channel/UC9A70zHWT__VE5oWmTg2-xA,Canal Top10
UC9UfFcGHYDIwVhdJ66iI6Fg,http://www.youtube.com/channel/UC9UfFcGHYDIwVhdJ66iI6Fg,KevinTDFW
UC9eXFedzizQtlY5snZ-IFkg,http://www.youtube.com/channel/UC9eXFedzizQtlY5snZ-IFkg,Sunaika Bruna
UCAA4eBBT2lt4C3YcXMdNOFA,http://www.youtube.com/channel/UCAA4eBBT2lt4C3YcXMdNOFA,malena010102
UCAjKLSz8h3XJM5CSJWvmoNA,http://www.youtube.com/channel/UCAjKLSz8h3XJM5CSJWvmoNA,Gigaton Games
UCAmiE11hyW3iPdtQ9clqvtg,http://www.youtube.com/channel/UCAmiE11hyW3iPdtQ9clqvtg,Canal 90
UCB252j0vfyUofxHsUrjjMPQ,http://www.youtube.com/channel/UCB252j0vfyUofxHsUrjjMPQ,Killy
UCB5puN5HUSx4zwDl4_za2jA,http://www.youtube.com/channel/UCB5puN5HUSx4zwDl4_za2jA,Quiropraxia Paulista
UCBEe_HRn_w0RZDYepeMmGyg,http://www.youtube.com/channel/UCBEe_HRn_w0RZDYepeMmGyg,Gabriel Moreno
UCBQGHXDr2SkMo6nGaeW9Ngw,http://www.youtube.com/channel/UCBQGHXDr2SkMo6nGaeW9Ngw,Razarovih
UCBbVJCSRPaAt45hBuQNcUmw,http://www.youtube.com/channel/UCBbVJCSRPaAt45hBuQNcUmw,Tazzo 🅥︎
UCBdRfyvxBj3E7eiWgS7UlEg,http://www.youtube.com/channel/UCBdRfyvxBj3E7eiWgS7UlEg,Elcio_Pedro
UCBmBea7IUgFaytgHQ9FNOlw,http://www.youtube.com/channel/UCBmBea7IUgFaytgHQ9FNOlw,Hey Vordex
UCBuvMtmenOSOpX3BYabwTCg,http://www.youtube.com/channel/UCBuvMtmenOSOpX3BYabwTCg,eizo aguena
UCCFcBOBr7B3ob4JjyTRdTRQ,http://www.youtube.com/channel/UCCFcBOBr7B3ob4JjyTRdTRQ,MrGuinas
UCCJC7YIZytEccbU0AWQIBHA,http://www.youtube.com/channel/UCCJC7YIZytEccbU0AWQIBHA,Falaidearo
UCChA_C_5ghru0Mbhlqj5eBw,http://www.youtube.com/channel/UCChA_C_5ghru0Mbhlqj5eBw,Alaranja Irritante
UCCnl0HqjHFj6akQZBW81whQ,http://www.youtube.com/channel/UCCnl0HqjHFj6akQZBW81whQ,Painzeiro
UCCq29Dla-VAl1oPQURcgpKA,http://www.youtube.com/channel/UCCq29Dla-VAl1oPQURcgpKA,Davideos
UCCsOwxgEIS6Dz9lbbb4E3qg,http://www.youtube.com/channel/UCCsOwxgEIS6Dz9lbbb4E3qg,MIKETHELINK
UCCuskj0Wx9yPzcXzgBE0UJA,http://www.youtube.com/channel/UCCuskj0Wx9yPzcXzgBE0UJA,Fortnite Insider
UCDB14JrPAMedPRldcrCaHnw,http://www.youtube.com/channel/UCDB14JrPAMedPRldcrCaHnw,MIcrostrategy
UCDRx0wMgscsG6vPNB0sO65Q,http://www.youtube.com/channel/UCDRx0wMgscsG6vPNB0sO65Q,Life Hacks & Experiments
UCDaM5npyBufSF9XF7XnDlsA,http://www.youtube.com/channel/UCDaM5npyBufSF9XF7XnDlsA,CLEPTON
UCDiM8gEQZDN158QRgdySEKw,http://www.youtube.com/channel/UCDiM8gEQZDN158QRgdySEKw,Pai Também Joga
UCE-RSrlYMNDKnMyG7V1vI3Q,http://www.youtube.com/channel/UCE-RSrlYMNDKnMyG7V1vI3Q,R2Extreme
UCEJNogTsOYulkFeRwCSf66g,http://www.youtube.com/channel/UCEJNogTsOYulkFeRwCSf66g,Muop
UCEOfOaZ49f0WaTAom8f97Jw,http://www.youtube.com/channel/UCEOfOaZ49f0WaTAom8f97Jw,MNXHD
UCEWOoncsrmirqnFqxer9lmA,http://www.youtube.com/channel/UCEWOoncsrmirqnFqxer9lmA,The Noite com Danilo Gentili
UCEfGV5hx2VrXl4jOUnG0MRQ,http://www.youtube.com/channel/UCEfGV5hx2VrXl4jOUnG0MRQ,Geleia
UCEj_Ljx--aKbUyjXzBu_YbA,http://www.youtube.com/channel/UCEj_Ljx--aKbUyjXzBu_YbA,Yuriilouco
UCEnmkx7iA7z1U4171XPLJVQ,http://www.youtube.com/channel/UCEnmkx7iA7z1U4171XPLJVQ,One Gamer Shorts
UCF4-7zzEk-mc5qd1WsgVjlw,http://www.youtube.com/channel/UCF4-7zzEk-mc5qd1WsgVjlw,Braian Rizzo
UCF5OxapO7zJUkX9EYvGwN_Q,http://www.youtube.com/channel/UCF5OxapO7zJUkX9EYvGwN_Q,Fatos Insanos
UCFAiFyGs6oDiF1Nf-rRJpZA,http://www.youtube.com/channel/UCFAiFyGs6oDiF1Nf-rRJpZA,Technoblade
UCFJ7VflBghMukjdJfbcaCqw,http://www.youtube.com/channel/UCFJ7VflBghMukjdJfbcaCqw,The Master Invenções
UCFRuuihT36BWUEy3k5YUikQ,http://www.youtube.com/channel/UCFRuuihT36BWUEy3k5YUikQ,vinosccp
UCF_qtMqjILRhy5dfLLWur6A,http://www.youtube.com/channel/UCF_qtMqjILRhy5dfLLWur6A,Droust
UCFhZHkxjgParANyn4L6nTrg,http://www.youtube.com/channel/UCFhZHkxjgParANyn4L6nTrg,Derponce
UCFjrDmEnxrG5TRGVO0TPHLA,http://www.youtube.com/channel/UCFjrDmEnxrG5TRGVO0TPHLA,Desimpedidos
UCGFNp4Pialo9wjT9Bo8wECA,http://www.youtube.com/channel/UCGFNp4Pialo9wjT9Bo8wECA,FutParódias
UCGbHZyufOc-AltYp-_hBShg,http://www.youtube.com/channel/UCGbHZyufOc-AltYp-_hBShg,Adilson está aqui
UCGqFN0x-7MpWemIlT9Xmskw,http://www.youtube.com/channel/UCGqFN0x-7MpWemIlT9Xmskw,EnaldoCast
UCGxw7ac7ufVJmjT23PTqD5A,http://www.youtube.com/channel/UCGxw7ac7ufVJmjT23PTqD5A,As 7am
UCH-BU-Os3JSo2L8lBQxE8KA,http://www.youtube.com/channel/UCH-BU-Os3JSo2L8lBQxE8KA,Xsports
UCH2VZQBLFTOp6I_qgnBJCuQ,http://www.youtube.com/channel/UCH2VZQBLFTOp6I_qgnBJCuQ,Canal Nostalgia
UCHAx8o0jj-8L_sqR5QM1Cwg,http://www.youtube.com/channel/UCHAx8o0jj-8L_sqR5QM1Cwg,La Fênix
UCHB_4-REdi-Ee5WwcijIJFQ,http://www.youtube.com/channel/UCHB_4-REdi-Ee5WwcijIJFQ,Raissa Chaddad
UCHDV3JN5aqxAy9hwTTVHJow,http://www.youtube.com/channel/UCHDV3JN5aqxAy9hwTTVHJow,Skorpion Gamer
UCHeb6vnPec9LaNwmcvxP8Mw,http://www.youtube.com/channel/UCHeb6vnPec9LaNwmcvxP8Mw,CajuTV
UCHuXGz8SfCuyMgpYACW87GA,http://www.youtube.com/channel/UCHuXGz8SfCuyMgpYACW87GA,Thiago Souza
UCHuZmQ0lSW8TG81dVZZh5rw,http://www.youtube.com/channel/UCHuZmQ0lSW8TG81dVZZh5rw,LipaoGamer
UCI9bZHJqIWmiZlOWFdYIGjg,http://www.youtube.com/channel/UCI9bZHJqIWmiZlOWFdYIGjg,Kastor
UCIBHphCajs9TR7y8m8ei-ew,http://www.youtube.com/channel/UCIBHphCajs9TR7y8m8ei-ew,Real Clash
UCIOrUVVyfoWnmcwG6IwCULQ,http://www.youtube.com/channel/UCIOrUVVyfoWnmcwG6IwCULQ,Loserfruit
UCIPA6iWNaoetaa1T46RkzXw,http://www.youtube.com/channel/UCIPA6iWNaoetaa1T46RkzXw,AuthenticGames
UCIQPHl1WKKTt9KkWyo_JNig,http://www.youtube.com/channel/UCIQPHl1WKKTt9KkWyo_JNig,INCRÍVEL
UCIUO9XSFV-zV15sGf59rV-g,http://www.youtube.com/channel/UCIUO9XSFV-zV15sGf59rV-g,beofera
UCIXguhHCl8eDTkXpEuiGPUA,http://www.youtube.com/channel/UCIXguhHCl8eDTkXpEuiGPUA,Jazzghost
UCIaMkJjhjg9-6j_T2-dgSKA,http://www.youtube.com/channel/UCIaMkJjhjg9-6j_T2-dgSKA,Gr4xinha;-;
UCIj7XfanhYeZgLMLKc1pbQg,http://www.youtube.com/channel/UCIj7XfanhYeZgLMLKc1pbQg,KrazyPotato
UCIwspRtKNszHhIhl36gREjQ,http://www.youtube.com/channel/UCIwspRtKNszHhIhl36gREjQ,alanzoka
UCIxVcJfSPHCPfepiJRJQ-vg,http://www.youtube.com/channel/UCIxVcJfSPHCPfepiJRJQ-vg,Gato Galactico Prime
UCJNdKGg3Hs_C5Ip4U8NawaA,http://www.youtube.com/channel/UCJNdKGg3Hs_C5Ip4U8NawaA,COMÉDIA SELVAGEM STORIES
UCJcWWXl61cHKPVrYoZPQ_FA,http://www.youtube.com/channel/UCJcWWXl61cHKPVrYoZPQ_FA,Solo da Sorte
UCJkQUCZBoQ9VzyTJIHoGytQ,http://www.youtube.com/channel/UCJkQUCZBoQ9VzyTJIHoGytQ,Julia Reimberg
UCJr92P-Ekhas7vSqWAj2uWw,http://www.youtube.com/channel/UCJr92P-Ekhas7vSqWAj2uWw,Jr Dublê
UCK2suGjhPzf1h61EFiMn34w,http://www.youtube.com/channel/UCK2suGjhPzf1h61EFiMn34w,Dennis Almeida
UCKC0H4sr0uuDApmbnv6oXwQ,http://www.youtube.com/channel/UCKC0H4sr0uuDApmbnv6oXwQ,Área Curiosa
UCKH152SZDISDqLhUaVJ12MA,http://www.youtube.com/channel/UCKH152SZDISDqLhUaVJ12MA,Wap Clips
UCKHhA5hN2UohhFDfNXB_cvQ,http://www.youtube.com/channel/UCKHhA5hN2UohhFDfNXB_cvQ,Manual do Mundo
UCKIti5lckTRJREbbUY-dduA,http://www.youtube.com/channel/UCKIti5lckTRJREbbUY-dduA,IncrívelMente Curioso
UCKSQxiw4AvxezS5ZTiAb5MA,http://www.youtube.com/channel/UCKSQxiw4AvxezS5ZTiAb5MA,Vaall Machado
UCKdT5d4AlunOrwUUKXVfQhw,http://www.youtube.com/channel/UCKdT5d4AlunOrwUUKXVfQhw,MARCELO PEREIRA
UCKqECcpwgxXfWMskJHj9JEA,http://www.youtube.com/channel/UCKqECcpwgxXfWMskJHj9JEA,Carolline
UCKu0tYRMmapT8kG69CavYvQ,http://www.youtube.com/channel/UCKu0tYRMmapT8kG69CavYvQ,Wesley MG
UCL64gn1KZ1C-u87BGQv3b6w,http://www.youtube.com/channel/UCL64gn1KZ1C-u87BGQv3b6w,Jorge & Mateus Oficial
UCLAumKr0O_z6r6RPiummR1g,http://www.youtube.com/channel/UCLAumKr0O_z6r6RPiummR1g,5 Alguma Coisa
UCLrxBkebCjcomgUjOTwpPfg,http://www.youtube.com/channel/UCLrxBkebCjcomgUjOTwpPfg,WIIFEROZ
UCM6_5DnzVOKypIuk7S_yxDA,http://www.youtube.com/channel/UCM6_5DnzVOKypIuk7S_yxDA,KazzioTV
UCM6tdc-Uf2xZcygdK49QlCg,http://www.youtube.com/channel/UCM6tdc-Uf2xZcygdK49QlCg,Lkzinhu
UCMTME4Wi2KuObb5dA8763jg,http://www.youtube.com/channel/UCMTME4Wi2KuObb5dA8763jg,Parkour
UCNB5SDb0OCFr85NkJzMZ1NQ,http://www.youtube.com/channel/UCNB5SDb0OCFr85NkJzMZ1NQ,Manual de um Desenhista
UCNrthyyJVjrJUpePrl6lW_g,http://www.youtube.com/channel/UCNrthyyJVjrJUpePrl6lW_g,Neagle
UCOHptmhkQl0nPAPpghvJjRA,http://www.youtube.com/channel/UCOHptmhkQl0nPAPpghvJjRA,Carioca NoMundo
UCOOkCYthHdrpCZdytAT63GQ,http://www.youtube.com/channel/UCOOkCYthHdrpCZdytAT63GQ,Canal Desconfinados
UCOdxuC44s-igWD1WhH2-NWg,http://www.youtube.com/channel/UCOdxuC44s-igWD1WhH2-NWg,Dicas da Maravigold
UCOmMVGw1qWTAFazwDsHnyAA,http://www.youtube.com/channel/UCOmMVGw1qWTAFazwDsHnyAA,Mandalorian Forza
UCOn8-IDGI48ztZIszRNqWjw,http://www.youtube.com/channel/UCOn8-IDGI48ztZIszRNqWjw,DVDINFOGAMES
UCP3Y5DGByyT42STUz61iwgA,http://www.youtube.com/channel/UCP3Y5DGByyT42STUz61iwgA,Mundo Inverso
UCPKC8lx22jfnJ9mtBa-GjGQ,http://www.youtube.com/channel/UCPKC8lx22jfnJ9mtBa-GjGQ,MoneyJM
UCPLWm-TJeKW2Khmg7Pc5fRQ,http://www.youtube.com/channel/UCPLWm-TJeKW2Khmg7Pc5fRQ,LUCAS TYLTY
UCPMKZ3CyKw9KrWKJDVN3RWA,http://www.youtube.com/channel/UCPMKZ3CyKw9KrWKJDVN3RWA,Milkair
UCPX0gLduKAfgr-HJENa7CFw,http://www.youtube.com/channel/UCPX0gLduKAfgr-HJENa7CFw,Renato Cariani
UCPpiBKUM1sSgcBSI2xs531A,http://www.youtube.com/channel/UCPpiBKUM1sSgcBSI2xs531A,BrAsIl 3sPoRt3S
UCQ4JA9RWgJyz6CPwlepyYOQ,http://www.youtube.com/channel/UCQ4JA9RWgJyz6CPwlepyYOQ,Dearo e Manu
UCQX3VesYEzs8I-ELH0_Wi5A,http://www.youtube.com/channel/UCQX3VesYEzs8I-ELH0_Wi5A,Pagode da Ofensa na Web
UCQaBi4mxFO87zLw2uM3-6-A,http://www.youtube.com/channel/UCQaBi4mxFO87zLw2uM3-6-A,Manteiga
UCR07DI8SqE8SdfIRIAuwvVw,http://www.youtube.com/channel/UCR07DI8SqE8SdfIRIAuwvVw,Canal Chuá
UCR3vcUrhFUdzagng58ueI2w,http://www.youtube.com/channel/UCR3vcUrhFUdzagng58ueI2w,Invento na Hora
UCR6m35Pw1Of4UeVOY9FoOiQ,http://www.youtube.com/channel/UCR6m35Pw1Of4UeVOY9FoOiQ,Patriota
UCRKMoImiahCNu833HVQVhBA,http://www.youtube.com/channel/UCRKMoImiahCNu833HVQVhBA,Luiza Parente
UCRP5p2RfxJgnKyWgve5pJ-Q,http://www.youtube.com/channel/UCRP5p2RfxJgnKyWgve5pJ-Q,Canal History Brasil
UCRc1QYRg0L0q53wMAvUMxyg,http://www.youtube.com/channel/UCRc1QYRg0L0q53wMAvUMxyg,Chiquititas SBT
UCRijo3ddMTht_IHyNSNXpNQ,http://www.youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect
UCRyYrioV5ArhMhODcpe76Mg,http://www.youtube.com/channel/UCRyYrioV5ArhMhODcpe76Mg,Clebito
UCS8am3gkW1GiDtVmMeGBrqA,http://www.youtube.com/channel/UCS8am3gkW1GiDtVmMeGBrqA,Jornada do Whisky
UCSLKXDXRFHj_u_0KLbVPx3g,http://www.youtube.com/channel/UCSLKXDXRFHj_u_0KLbVPx3g,Joni
UCSRbu0PsVwDRUXkEw4l8XHA,http://www.youtube.com/channel/UCSRbu0PsVwDRUXkEw4l8XHA,Josemar de Luna Costa Costa
UCSRmIdDu1XFDr2iViBvcEDA,http://www.youtube.com/channel/UCSRmIdDu1XFDr2iViBvcEDA,Controle Dois
UCSZOaC7a_L9eyC6DeV4h_8A,http://www.youtube.com/channel/UCSZOaC7a_L9eyC6DeV4h_8A,Plano Piloto
UCT-QobdGYczKTSuWAQbQFAA,http://www.youtube.com/channel/UCT-QobdGYczKTSuWAQbQFAA,Operação Cinema
UCT6llggvwmbSxpIfHpHxV1g,http://www.youtube.com/channel/UCT6llggvwmbSxpIfHpHxV1g,KaikeFlex
UCTEy4cCofXPIlPCe7DlkEJg,http://www.youtube.com/channel/UCTEy4cCofXPIlPCe7DlkEJg,Gabriel .JF.Brasil
