ID do vídeo,Carimbo de data/hora da criação do vídeo da playlist
v6HFc5I0hr8,2025-01-04T01:37:31+00:00
s3XGBjcICSQ,2025-01-04T01:37:51+00:00
y4FiCl-tUJc,2025-01-04T01:42:56+00:00
RVDCeVG90Rg,2025-01-04T01:46:00+00:00
Ztdc7TcPdAA,2025-01-04T01:46:53+00:00
Kf5pXDhx5Vc,2025-01-04T01:47:50+00:00
8BiLurrzFRw,2025-01-04T01:48:04+00:00
tdwDYpWsktc,2025-01-04T01:50:04+00:00
m-M1AtrxztU,2025-01-04T01:55:04+00:00
Ck0LO6b6OQc,2025-01-04T02:06:52+00:00
ACNwMzZejQQ,2025-01-16T00:40:20+00:00
PB1UcbXERXM,2025-01-25T02:30:42+00:00
1dn2w-E0USY,2025-04-22T17:18:58+00:00
0qYpAu4ijtQ,2025-04-23T08:52:33+00:00
LH1llA7jpRU,2025-04-23T08:52:40+00:00
4gmR2XfjztA,2025-04-23T08:52:43+00:00
bQcMaE2QGK0,2025-04-23T08:52:47+00:00
nKX8ZNzuvNs,2025-04-27T13:30:53+00:00
2CgESv5CYUw,2025-04-27T20:45:58+00:00
3_g2un5M350,2025-04-27T20:46:13+00:00
C5i-UnuUKUI,2025-04-27T20:51:10+00:00
GtUVQei3nX4,2025-04-27T22:33:59+00:00
w1Smzzw_w7Q,2025-04-27T22:34:53+00:00
DcDbKDAb7go,2025-04-27T22:35:50+00:00
p-IXgwqhfmg,2025-04-27T22:36:38+00:00
th92jw2CFOA,2025-04-27T22:38:07+00:00
SiRJw4f_ufc,2025-04-27T22:38:54+00:00
 -qqCx5ZyscE,2025-04-28T01:05:45+00:00
LjhCEhWiKXk,2025-04-28T01:12:19+00:00
1E2ihUl6ed4,2025-04-28T01:14:27+00:00
DqO1lLavWGo,2025-04-28T01:26:35+00:00
PMyoHar7EdY,2025-04-28T01:29:50+00:00
9kznlAwE-8o,2025-04-28T01:35:15+00:00
xjtNp-RStOs,2025-05-02T19:50:30+00:00
esMMHzePMVk,2025-05-02T20:36:31+00:00
7hDam9i-Aps,2025-05-16T20:57:06+00:00
 -jRKsiAOAA8,2025-05-16T22:16:25+00:00
59nAgJZ5IoE,2025-05-19T22:16:29+00:00
J2dqEK7pdBQ,2025-05-25T00:34:50+00:00
ZTlxMR5GQCQ,2025-06-16T21:01:49+00:00
62yox0F5lcA,2025-10-03T13:26:36+00:00
khnokW3Mw24,2025-12-16T22:52:09+00:00
9bgyuqM4LcU,2026-01-05T03:40:45+00:00





