ID do vídeo,Carimbo de data/hora da criação do vídeo da playlist
DqO1lLavWGo,2025-05-31T17:30:26+00:00
y4FiCl-tUJc,2025-05-31T17:30:37+00:00
0siKyXL_h08,2025-05-31T17:30:50+00:00
DcDbKDAb7go,2025-05-31T17:31:01+00:00
GJY8OMJXRAk,2025-05-31T17:31:15+00:00
p-IXgwqhfmg,2025-05-31T17:31:34+00:00
t4DyuBtNFrc,2025-05-31T17:33:10+00:00
vTMAa6zZ7jY,2025-05-31T17:33:34+00:00
J-LZsS1zxXI,2025-05-31T17:36:02+00:00
3WzamI8QD2s,2025-05-31T17:36:17+00:00
DmhdcDQt7Dk,2025-05-31T17:36:26+00:00
59nAgJZ5IoE,2025-05-31T17:36:29+00:00
lMMGvFS_KqE,2025-05-31T17:37:16+00:00
0LuignGmX_0,2025-05-31T17:40:48+00:00
XDjB9E3YtUE,2025-05-31T17:42:27+00:00
aQIhNPL_EAc,2025-05-31T17:42:46+00:00
96L5sV7rqX0,2025-05-31T17:43:10+00:00
w1Smzzw_w7Q,2025-05-31T17:44:24+00:00
YRkWZO4iLYk,2025-05-31T17:45:18+00:00
f_K_0SNaRk0,2025-05-31T17:45:27+00:00
DbcGfcF-FME,2025-05-31T17:54:38+00:00
cc4og_BpscM,2025-05-31T17:57:54+00:00
_GWKkqNoyEA,2025-05-31T18:04:44+00:00
TN5Ye9pQhlM,2025-05-31T18:08:10+00:00
iaeeZLnrFbA,2025-05-31T18:10:19+00:00
UwdP9D1R59c,2025-05-31T18:13:55+00:00
zuaBRqUBhyw,2025-05-31T18:17:00+00:00
YVev0EXDSm0,2025-05-31T18:19:04+00:00





